Initial_Concentration_mgL,Adsorbent_Dosage_gL,pH,Contact_Time_min,Temperature_C,Removal_Efficiency_percent
40,0.6,2,60,35,64.69
40,0.6,6,120,35,77.89
40,0.6,6,10,35,64.21
40,0.6,6,30,35,70.36
40,0.6,6,30,35,71.49
80,0.6,6,60,35,71.27
40,0.8,6,60,35,79.33
40,0.6,4,60,35,71.77
40,0.6,4,60,35,71.43
10,0.6,6,60,35,80.85
40,0.6,10,60,35,71.18
60,0.6,6,60,35,74.13
40,0.6,6,20,35,68.53
40,0.6,6,10,35,64.28
40,0.6,6,60,25,77.45
40,0.6,6,20,35,68.04
40,0.8,6,60,35,78.29
40,0.6,6,60,45,74.04
40,1.0,6,60,35,79.05
40,0.4,6,60,35,71.21
40,0.6,6,120,35,79.03
40,0.8,6,60,35,78.68
10,0.6,6,60,35,81.58
40,0.6,4,60,35,71.49
40,0.6,6,45,35,74.19
80,0.6,6,60,35,71.45
40,0.6,4,60,35,67.92
60,0.6,6,60,35,73.63
40,0.6,6,10,35,64.53
40,0.6,4,60,35,71.81
40,0.4,6,60,35,71.53
100,0.6,6,60,35,70.81
40,0.6,10,60,35,71.42
40,0.6,6,10,35,62.54
40,0.6,6,60,25,74.31
40,0.6,2,60,35,63.98
60,0.6,6,60,35,74.1
40,0.6,6,45,35,75.08
40,0.6,6,5,35,57.92
40,0.6,6,10,35,63.78
20,0.6,6,60,35,81.89
40,0.4,6,60,35,74.06
40,0.6,6,30,35,71.18
40,0.6,6,45,35,73.01
40,0.6,2,60,35,63.14
40,0.6,6,45,35,75.93
40,0.6,6,90,35,77.3
40,1.0,6,60,35,79.26
40,0.6,6,120,35,78.76
40,0.2,6,60,35,70.33
100,0.6,6,60,35,72.34
40,0.6,6,10,35,62.36
40,0.6,6,5,35,58.51
60,0.6,6,60,35,74.46
40,0.6,6,45,35,74.93
80,0.6,6,60,35,69.72
40,0.6,6,45,35,74.74
40,0.6,6,60,35,72.85
40,0.6,6,45,35,75.66
40,0.6,6,30,35,70.51
40,0.6,6,30,35,71.34
40,0.6,6,5,35,59.45
40,0.6,4,60,35,72.09
40,0.6,6,10,35,62.65
40,0.2,6,60,35,69.1
40,0.6,6,30,35,72.61
40,0.6,10,60,35,71.14
40,0.6,4,60,35,70.05
40,0.6,8,60,35,76.71
40,0.6,10,60,35,68.06
40,0.6,6,60,35,75.51
60,0.6,6,60,35,73.64
100,0.6,6,60,35,71.3
20,0.6,6,60,35,80.01
40,0.6,2,60,35,66.32
40,0.6,6,10,35,61.14
40,0.6,6,5,35,57.99
40,0.6,4,60,35,71.09
40,0.6,6,90,35,77.87
40,0.6,10,60,35,70.56
10,0.6,6,60,35,81.12
40,0.6,6,30,35,71.55
40,0.6,10,60,35,71.8
40,0.6,6,5,35,56.05
40,0.6,10,60,35,71.97
40,0.6,10,60,35,69.92
20,0.6,6,60,35,79.65
40,0.6,10,60,35,70.32
40,0.6,6,45,35,74.2
40,0.4,6,60,35,72.67
40,0.6,12,60,35,65.37
40,0.6,6,60,35,76.36
40,0.8,6,60,35,77.3
40,0.6,2,60,35,64.0
40,0.6,6,60,45,75.73
100,0.6,6,60,35,71.28
40,0.2,6,60,35,69.26
40,1.0,6,60,35,79.02
40,0.6,6,60,45,76.96
40,0.6,6,90,35,76.81
40,0.6,6,60,35,76.09
100,0.6,6,60,35,70.61
40,0.6,6,45,35,74.27
10,0.6,6,60,35,82.3
40,0.6,6,90,35,77.73
40,0.2,6,60,35,68.07
40,0.6,6,60,25,75.98
40,0.4,6,60,35,73.97
40,0.6,2,60,35,65.11
40,0.6,6,5,35,57.88
60,0.6,6,60,35,73.0
40,0.6,10,60,35,68.94
40,0.6,8,60,35,74.4
40,0.6,6,30,35,71.71
40,0.6,6,60,45,76.63
40,0.6,6,5,35,60.28
40,1.0,6,60,35,79.71
40,1.0,6,60,35,79.13
40,0.6,2,60,35,66.42
40,0.6,6,45,35,73.94
40,0.4,6,60,35,72.35
80,0.6,6,60,35,69.86
40,0.8,6,60,35,76.47
40,0.6,6,60,35,75.87
20,0.6,6,60,35,79.28
20,0.6,6,60,35,78.92
40,0.6,6,30,35,72.31
40,0.6,6,20,35,67.64
40,0.6,6,10,35,61.71
40,0.6,4,60,35,70.1
40,0.6,6,20,35,66.81
60,0.6,6,60,35,74.25
40,0.6,6,120,35,78.11
40,0.6,8,60,35,76.6
40,0.6,6,60,25,75.36
60,0.6,6,60,35,73.74
40,0.6,4,60,35,70.95
40,0.6,6,10,35,61.29
40,0.6,4,60,35,72.93
40,0.6,2,60,35,64.58
60,0.6,6,60,35,74.2
40,1.0,6,60,35,80.15
100,0.6,6,60,35,72.24
40,0.4,6,60,35,74.85
40,0.6,6,10,35,62.48
40,0.6,6,5,35,57.31
40,0.6,12,60,35,68.19
40,0.8,6,60,35,78.69
40,0.6,6,60,45,76.42
20,0.6,6,60,35,78.49
40,0.8,6,60,35,79.28
20,0.6,6,60,35,79.45
40,0.8,6,60,35,76.85
40,0.6,6,60,45,75.82
40,0.8,6,60,35,76.81
40,0.6,6,120,35,80.86
40,0.6,4,60,35,69.85
40,0.6,6,10,35,64.17
40,0.6,2,60,35,65.17
40,0.2,6,60,35,68.45
40,0.6,6,30,35,71.01
40,0.6,6,60,45,76.28
40,0.2,6,60,35,68.26
40,0.6,6,30,35,71.38
40,0.2,6,60,35,66.27
40,0.6,6,20,35,69.08
40,0.6,6,30,35,71.08
40,0.6,2,60,35,63.98
40,0.6,6,20,35,68.52
40,0.2,6,60,35,70.68
10,0.6,6,60,35,82.56
20,0.6,6,60,35,81.47
40,0.6,2,60,35,66.0
40,0.6,6,120,35,79.04
60,0.6,6,60,35,73.96
40,0.6,2,60,35,64.63
40,0.6,6,10,35,61.91
80,0.6,6,60,35,71.81
40,0.6,6,20,35,67.85
40,0.4,6,60,35,73.07
40,0.6,6,45,35,74.14
40,0.6,10,60,35,68.67
40,0.6,10,60,35,70.77
80,0.6,6,60,35,72.25
40,0.6,4,60,35,69.8
40,0.6,6,90,35,76.9
40,0.6,6,60,35,74.11
40,0.6,6,30,35,71.1
40,0.6,4,60,35,70.69
40,0.6,6,20,35,68.0
40,0.6,6,5,35,59.29
40,0.6,2,60,35,66.06
40,0.4,6,60,35,71.91
40,0.6,6,5,35,58.48
60,0.6,6,60,35,74.68
40,0.6,12,60,35,67.33
20,0.6,6,60,35,77.43
40,0.6,6,5,35,57.99
40,0.6,6,5,35,59.64
20,0.6,6,60,35,79.18
